"method" "nvar" "nerrors" "errorloc" "weight" "degeneracy" "user" "system" "elapsed" "maxDurationExceeded" "memfail"
"mip" 13 8 "begin" 8 NA 0.0300000000000002 0 0.0299999999999994 FALSE FALSE
"mip" 13 8 "end" 8 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 13 8 "middle" 8 NA 0.0199999999999996 0 0.0200000000000014 FALSE FALSE
"mip" 13 9 "begin" 9 NA 0.0200000000000005 0 0.0199999999999996 FALSE FALSE
"mip" 13 9 "end" 9 NA 0.00999999999999979 0.02 0.0300000000000011 FALSE FALSE
"mip" 13 9 "middle" 9 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 13 10 "begin" 10 NA 0.00999999999999979 0 0.0200000000000014 FALSE FALSE
"mip" 13 10 "end" 10 NA 0.04 0 0.0299999999999994 FALSE FALSE
"mip" 13 10 "middle" 10 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 14 1 "begin" 1 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 14 1 "end" 1 NA 0.04 0 0.0299999999999994 FALSE FALSE
"mip" 14 1 "middle" 1 NA 0.00999999999999979 0 0.0200000000000014 FALSE FALSE
"mip" 14 2 "begin" 2 NA 0.0100000000000007 0 0.0199999999999996 FALSE FALSE
"mip" 14 2 "end" 2 NA 0.0299999999999994 0 0.0300000000000011 FALSE FALSE
"mip" 14 2 "middle" 2 NA 0.0200000000000005 0 0.00999999999999979 FALSE FALSE
"mip" 14 3 "begin" 3 NA 0.00999999999999979 0 0.0200000000000014 FALSE FALSE
"mip" 14 3 "end" 3 NA 0.0300000000000002 0 0.0299999999999994 FALSE FALSE
"mip" 14 3 "middle" 3 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 14 4 "begin" 4 NA 0.00999999999999979 0 0.0199999999999996 FALSE FALSE
"mip" 14 4 "end" 4 NA 0.0199999999999996 0 0.00999999999999979 FALSE FALSE
"mip" 14 4 "middle" 4 NA 0 0.0099999999999999 0.00999999999999979 FALSE FALSE
"mip" 14 5 "begin" 5 NA 0.0199999999999996 0 0.0199999999999996 FALSE FALSE
"mip" 14 5 "end" 5 NA 0.00999999999999979 0 0.00999999999999979 FALSE FALSE
"mip" 14 5 "middle" 5 NA 0.0300000000000002 0 0.0300000000000011 FALSE FALSE
"mip" 14 6 "begin" 6 NA 0.0300000000000002 0 0.0300000000000011 FALSE FALSE
